"Date","Price","Open","High","Low","Change %"
"May 11, 2020","5.8191","5.7825","5.8404","5.7651","1.50%"
"May 08, 2020","5.7329","5.9917","5.9922","5.7178","-1.71%"
"May 07, 2020","5.8324","5.7158","5.8770","5.7158","2.05%"
"May 06, 2020","5.7155","5.5750","5.7235","5.5750","2.43%"
"May 05, 2020","5.5797","5.5424","5.6044","5.4818","0.61%"
"May 04, 2020","5.5459","5.6141","5.6143","5.5187","1.09%"
"May 01, 2020","5.4861","5.4861","5.4861","5.4861","-0.03%"
"Apr 30, 2020","5.4875","5.3346","5.4875","5.3306","2.84%"
"Apr 29, 2020","5.3361","5.5019","5.5280","5.3340","-3.00%"
"Apr 28, 2020","5.5012","5.6085","5.6221","5.4710","-2.71%"
"Apr 27, 2020","5.6543","5.5427","5.7260","5.5345","1.12%"
"Apr 24, 2020","5.5915","5.5339","5.7484","5.5339","1.02%"
"Apr 23, 2020","5.5352","5.4557","5.5567","5.4008","1.41%"
"Apr 22, 2020","5.4583","5.3184","5.4644","5.3028","2.66%"
"Apr 21, 2020","5.3168","5.3172","5.3176","5.3166","-0.01%"
"Apr 20, 2020","5.3175","5.2864","5.3201","5.2642","1.53%"
"Apr 17, 2020","5.2373","5.2341","5.2761","5.2066","0.07%"
"Apr 16, 2020","5.2336","5.2336","5.2683","5.2007","-0.09%"
"Apr 15, 2020","5.2385","5.2228","5.2684","5.2157","1.45%"
"Apr 14, 2020","5.1636","5.1811","5.2123","5.1484","-0.71%"
"Apr 13, 2020","5.2007","5.1219","5.2088","5.1038","1.84%"
"Apr 10, 2020","5.1068","5.1068","5.1068","5.1068","-0.01%"
"Apr 09, 2020","5.1073","5.1260","5.1533","5.0487","-0.33%"
"Apr 08, 2020","5.1241","5.2237","5.2489","5.1112","-1.89%"
"Apr 07, 2020","5.2229","5.2817","5.2868","5.1819","-1.22%"
"Apr 06, 2020","5.2873","5.2998","5.3114","5.2235","-1.19%"
"Apr 03, 2020","5.3509","5.2566","5.3541","5.2557","1.85%"
"Apr 02, 2020","5.2536","5.2485","5.2850","5.2221","0.08%"
"Apr 01, 2020","5.2495","5.2252","5.2747","5.2210","0.85%"
"Mar 31, 2020","5.2053","5.1881","5.2150","5.1680","0.21%"
"Mar 30, 2020","5.1943","5.1180","5.1961","5.1128","1.84%"
"Mar 27, 2020","5.1005","5.0235","5.1283","5.0235","1.56%"
"Mar 26, 2020","5.0219","5.0349","5.0660","4.9733","-0.29%"
"Mar 25, 2020","5.0366","5.0995","5.1109","4.9722","-1.23%"
"Mar 24, 2020","5.0995","5.1431","5.1431","5.0412","-0.88%"
"Mar 23, 2020","5.1446","5.0628","5.1479","5.0050","1.59%"
"Mar 20, 2020","5.0640","5.0010","5.0662","4.9820","-0.63%"
"Mar 19, 2020","5.0960","5.1098","5.2140","5.0682","-0.23%"
"Mar 18, 2020","5.1075","5.0099","5.2550","5.0081","1.95%"
"Mar 17, 2020","5.0100","5.0370","5.0881","4.9607","0.19%"
"Mar 16, 2020","5.0005","4.8593","5.0683","4.8593","2.90%"
"Mar 13, 2020","4.8595","4.7100","4.8815","4.6426","1.42%"
"Mar 12, 2020","4.7916","4.8154","5.0284","4.7496","-0.49%"
"Mar 11, 2020","4.8152","4.6406","4.8289","4.6406","3.69%"
"Mar 10, 2020","4.6439","4.6741","4.6881","4.6352","-1.71%"
"Mar 09, 2020","4.7246","4.7601","4.7954","4.7064","2.10%"
"Mar 06, 2020","4.6272","4.6355","4.6713","4.6101","0.43%"
"Mar 05, 2020","4.6076","4.5988","4.6666","4.5839","0.49%"
"Mar 04, 2020","4.5850","4.5133","4.5880","4.5019","1.55%"
"Mar 03, 2020","4.5148","4.4744","4.5183","4.4517","0.90%"
"Mar 02, 2020","4.4744","4.4950","4.5065","4.4692","0.02%"
"Feb 28, 2020","4.4736","4.5066","4.5138","4.4634","-0.28%"
"Feb 27, 2020","4.4863","4.4486","4.5015","4.4462","0.80%"
"Feb 26, 2020","4.4505","4.3875","4.4553","4.3875","1.42%"
"Feb 25, 2020","4.3883","4.3883","4.3883","4.3875","0.00%"
"Feb 24, 2020","4.3883","4.3883","4.3883","4.3883","-0.03%"
"Feb 21, 2020","4.3898","4.3941","4.4066","4.3700","-0.09%"
"Feb 20, 2020","4.3936","4.3651","4.3982","4.3572","0.65%"
"Feb 19, 2020","4.3653","4.3567","4.3778","4.3564","0.22%"
"Feb 18, 2020","4.3559","4.3281","4.3640","4.3251","0.66%"
"Feb 17, 2020","4.3273","4.2999","4.3318","4.2969","0.69%"
"Feb 14, 2020","4.2976","4.3506","4.3506","4.2903","-1.21%"
"Feb 13, 2020","4.3502","4.3552","4.3834","4.3075","-0.11%"
"Feb 12, 2020","4.3552","4.3323","4.3557","4.3231","0.54%"
"Feb 11, 2020","4.3318","4.3250","4.3405","4.2962","0.15%"
"Feb 10, 2020","4.3251","4.3204","4.3289","4.3034","0.10%"
"Feb 07, 2020","4.3206","4.2825","4.3238","4.2794","0.89%"
