Date,Price,Open,High,Low,Change %
"May 22, 2020",5.534,5.5536,5.6256,5.5229,-0.0033
"May 21, 2020",5.5524,5.6925,5.7062,5.5473,-0.0248
"May 20, 2020",5.6933,5.7559,5.7572,5.6694,-0.0108
"May 19, 2020",5.7558,5.7192,5.7687,5.682,0.0062
"May 18, 2020",5.7204,5.8565,5.8565,5.6942,-0.0233
"May 15, 2020",5.857,5.811,5.8734,5.759,0.0076
"May 14, 2020",5.813,5.9248,5.9718,5.8022,-0.0126
"May 13, 2020",5.887,5.8863,5.944,5.8176,0.0001
"May 12, 2020",5.8864,5.819,5.8949,5.742,0.0116
"May 11, 2020",5.8191,5.7825,5.8404,5.7651,0.015
"May 08, 2020",5.7329,5.9917,5.9922,5.7178,-0.0171
"May 07, 2020",5.8324,5.7158,5.877,5.7158,0.0205
"May 06, 2020",5.7155,5.575,5.7235,5.575,0.0243
"May 05, 2020",5.5797,5.5424,5.6044,5.4818,0.0061
"May 04, 2020",5.5459,5.6141,5.6143,5.5187,0.0109
"May 01, 2020",5.4861,5.4861,5.4861,5.4861,-0.0003
"Apr 30, 2020",5.4875,5.3346,5.4875,5.3306,0.0284
"Apr 29, 2020",5.3361,5.5019,5.528,5.334,-0.03
"Apr 28, 2020",5.5012,5.6085,5.6221,5.471,-0.0271
"Apr 27, 2020",5.6543,5.5427,5.726,5.5345,0.0112
"Apr 24, 2020",5.5915,5.5339,5.7484,5.5339,0.0102
"Apr 23, 2020",5.5352,5.4557,5.5567,5.4008,0.0141
"Apr 22, 2020",5.4583,5.3184,5.4644,5.3028,0.0266
"Apr 21, 2020",5.3168,5.3172,5.3176,5.3166,-0.0001
"Apr 20, 2020",5.3175,5.2864,5.3201,5.2642,0.0153
"Apr 17, 2020",5.2373,5.2341,5.2761,5.2066,0.0007
"Apr 16, 2020",5.2336,5.2336,5.2683,5.2007,-0.0009
"Apr 15, 2020",5.2385,5.2228,5.2684,5.2157,0.0145
"Apr 14, 2020",5.1636,5.1811,5.2123,5.1484,-0.0071
"Apr 13, 2020",5.2007,5.1219,5.2088,5.1038,0.0184
"Apr 10, 2020",5.1068,5.1068,5.1068,5.1068,-0.0001
"Apr 09, 2020",5.1073,5.126,5.1533,5.0487,-0.0033
"Apr 08, 2020",5.1241,5.2237,5.2489,5.1112,-0.0189
"Apr 07, 2020",5.2229,5.2817,5.2868,5.1819,-0.0122
"Apr 06, 2020",5.2873,5.2998,5.3114,5.2235,-0.0119
"Apr 03, 2020",5.3509,5.2566,5.3541,5.2557,0.0185
"Apr 02, 2020",5.2536,5.2485,5.285,5.2221,0.0008
"Apr 01, 2020",5.2495,5.2252,5.2747,5.221,0.0085
"Mar 31, 2020",5.2053,5.1881,5.215,5.168,0.0021
"Mar 30, 2020",5.1943,5.118,5.1961,5.1128,0.0184
"Mar 27, 2020",5.1005,5.0235,5.1283,5.0235,0.0156
"Mar 26, 2020",5.0219,5.0349,5.066,4.9733,-0.0029
"Mar 25, 2020",5.0366,5.0995,5.1109,4.9722,-0.0123
"Mar 24, 2020",5.0995,5.1431,5.1431,5.0412,-0.0088
"Mar 23, 2020",5.1446,5.0628,5.1479,5.005,0.0159
"Mar 20, 2020",5.064,5.001,5.0662,4.982,-0.0063
"Mar 19, 2020",5.096,5.1098,5.214,5.0682,-0.0023
"Mar 18, 2020",5.1075,5.0099,5.255,5.0081,0.0195
"Mar 17, 2020",5.01,5.037,5.0881,4.9607,0.0019
