"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 15, 2017","125.25","126.10","128.05","123.00","85.55K","-0.95%"
"Oct 08, 2017","126.45","131.00","132.70","125.40","95.96K","-2.73%"
"Oct 01, 2017","130.00","127.80","130.70","124.30","92.60K","1.52%"
"Sep 24, 2017","128.05","133.65","133.70","127.25","81.18K","-4.76%"
"Sep 17, 2017","134.45","141.35","141.35","132.90","57.44K","-3.96%"
"Sep 10, 2017","140.00","129.65","140.15","128.75","0.03K","8.19%"
"Sep 03, 2017","129.40","127.50","128.40","125.95","0.02K","1.29%"
"Aug 27, 2017","127.75","130.45","131.00","125.75","0.17K","-1.88%"
"Aug 20, 2017","130.20","128.45","130.00","125.50","19.18K","1.68%"
"Aug 13, 2017","128.05","139.55","139.85","126.75","64.66K","-8.73%"
"Aug 06, 2017","140.30","139.70","143.75","136.85","129.38K","0.11%"
"Jul 30, 2017","140.15","137.30","141.55","135.75","91.73K","1.67%"
"Jul 23, 2017","137.85","135.55","138.90","129.35","103.50K","0.95%"
"Jul 16, 2017","136.55","132.30","136.85","132.00","29.96K","3.68%"
"Jul 09, 2017","131.70","127.70","127.75","125.00","0.01K","4.07%"
"Jul 02, 2017","126.55","126.25","128.65","126.25","0.04K","2.02%"
"Jun 25, 2017","124.05","121.60","125.35","121.60","0.15K","3.42%"
"Jun 18, 2017","119.95","123.80","124.55","113.00","26.14K","-2.91%"
"Jun 11, 2017","123.55","127.55","129.10","123.00","112.43K","-2.37%"
"Jun 04, 2017","126.55","126.05","129.60","125.35","106.35K","0.80%"
"May 28, 2017","125.55","130.65","133.40","125.25","78.16K","-4.31%"
"May 21, 2017","131.20","132.10","133.00","127.15","72.07K","-0.68%"
"May 14, 2017","132.10","129.20","133.40","127.70","17.92K","-0.38%"
"May 07, 2017","132.60","132.60","132.60","132.60","0.00K","-0.38%"
"Apr 30, 2017","133.10","134.65","135.00","132.40","0.04K","1.56%"
"Apr 23, 2017","131.05","130.45","131.30","126.70","0.45K","0.92%"
"Apr 16, 2017","129.85","139.10","143.70","128.80","40.86K","-6.52%"
"Apr 09, 2017","138.90","140.00","142.00","137.60","104.99K","-0.82%"
"Apr 02, 2017","140.05","138.80","142.80","136.25","105.99K","0.54%"
"Mar 26, 2017","139.30","137.20","140.30","136.20","65.41K","1.24%"
"Mar 19, 2017","137.60","144.70","144.70","137.10","45.01K","-2.27%"
"Mar 12, 2017","140.80","137.45","141.10","137.40","0.03K","0.82%"
"Mar 05, 2017","139.65","139.60","139.75","138.90","0.02K","-1.13%"
"Feb 26, 2017","141.25","144.00","144.00","138.60","0.13K","-2.18%"
"Feb 19, 2017","144.40","149.20","151.40","143.65","0.42K","-2.30%"
"Feb 12, 2017","147.80","145.75","148.70","142.10","48.50K","1.41%"
"Feb 05, 2017","145.75","146.00","146.90","141.70","112.60K","-0.34%"
"Jan 29, 2017","146.25","151.70","152.50","144.70","112.21K","-4.04%"
"Jan 22, 2017","152.40","153.00","156.95","150.25","84.00K","-0.52%"
"Jan 15, 2017","153.20","148.80","153.35","146.75","56.06K","2.61%"
"Jan 08, 2017","149.30","142.15","151.60","140.75","95.38K","4.52%"
"Jan 01, 2017","142.85","137.80","145.45","134.40","65.92K","4.23%"
"Dec 25, 2016","137.05","136.00","138.85","132.85","50.73K","0.66%"
"Dec 18, 2016","136.15","141.15","145.25","135.95","43.74K","-1.48%"
"Dec 11, 2016","138.20","135.15","139.75","135.15","0.03K","1.95%"
"Dec 04, 2016","135.55","142.15","143.60","138.20","0.03K","-4.00%"
"Nov 27, 2016","141.20","152.65","153.35","140.40","0.33K","-7.29%"
"Nov 20, 2016","152.30","158.25","159.55","151.40","0.85K","-3.52%"
"Nov 13, 2016","157.85","159.00","165.30","157.45","48.21K","-1.00%"
"Nov 06, 2016","159.45","170.00","176.00","157.90","191.82K","-6.94%"
"Oct 30, 2016","171.35","164.25","172.00","160.35","121.02K","3.53%"
"Oct 23, 2016","165.50","156.05","166.90","155.65","120.02K","6.02%"
"Oct 16, 2016","156.10","154.90","159.60","154.55","80.32K","0.45%"
"Oct 09, 2016","155.40","148.20","155.90","148.05","91.67K","5.00%"
"Oct 02, 2016","148.00","151.10","151.70","145.20","88.30K","-2.34%"
"Sep 25, 2016","151.55","151.50","154.95","148.75","87.10K","0.10%"
"Sep 18, 2016","151.40","149.30","160.90","149.30","67.40K","2.92%"
"Sep 11, 2016","147.10","147.80","149.30","147.00","0.06K","-1.90%"
"Sep 04, 2016","149.95","151.90","153.70","150.00","0.03K","-0.10%"
"Aug 28, 2016","150.10","144.80","151.40","142.30","0.07K","4.31%"
"Aug 21, 2016","143.90","139.00","146.15","138.50","4.94K","3.67%"
"Aug 14, 2016","138.80","136.95","140.75","134.90","47.18K","1.42%"
"Aug 07, 2016","136.85","142.95","144.30","136.50","115.14K","-3.96%"
"Jul 31, 2016","142.50","145.00","145.75","136.95","107.40K","-2.53%"
"Jul 24, 2016","146.20","142.70","146.35","139.05","75.10K","3.03%"
