Coffee Date,Coffee Price,coffee comm. Net_Position,cocoa comm. Net_Position,sugar comm. Net_Position,Coffee Vol.,Coffee Price Change%,Coffee Price Change% shifted,Coffee Price shifted
2007-09-09,118.04999999999998,-14411,-18245,48889,0.07K,3.78%,0.0098,113.75
2007-09-16,129.9,-24316,-20689,49606,55.66K,10.04%,0.0378,118.04999999999998
2007-09-23,128.65,-33116,-34086,-1325,55.17K,-0.96%,0.10039999999999999,129.9
2007-09-30,137.0,-37300,-40303,-4401,65.40K,6.49%,-0.0096,128.65
2007-10-07,139.3,-39887,-34276,-4319,67.35K,1.68%,0.0649,137.0
2007-10-14,125.0,-45642,-31260,-9547,79.18K,-10.27%,0.0168,139.3
2007-10-21,121.45000000000002,-44121,-29791,-17284,56.65K,-2.84%,-0.1027,125.0
2007-10-28,118.9,-38746,-32376,-27739,50.92K,-2.10%,-0.028399999999999998,121.45000000000002
2007-11-04,121.75,-35516,-39737,-24204,47.51K,2.40%,-0.021,118.9
2007-11-11,124.9,-35629,-38411,-1949,54.37K,2.59%,0.024,121.75
2007-11-18,123.44999999999999,-36289,-40855,14135,12.18K,-1.16%,0.0259,124.9
2007-11-25,125.95,-34295,-40467,34439,1.44K,2.03%,-0.0116,123.44999999999999
2007-12-02,127.75000000000001,-37592,-43258,18145,0.41K,1.43%,0.0203,125.95
2007-12-09,130.75,-38891,-45669,-23177,0.17K,2.35%,0.0143,127.75000000000001
2007-12-16,134.2,-40288,-49090,-57063,14.81K,2.64%,0.0235,130.75
2008-01-06,136.3,-40839,-54098,-107549,60.09K,2.71%,0.0264,134.2
2008-01-13,133.1,-39251,-58827,-110889,61.74K,-2.35%,0.0271,136.3
2008-01-20,131.45,-38557,-53023,-94043,52.31K,-1.24%,-0.0235,133.1
2008-01-27,139.1,-38023,-52931,-92665,70.29K,5.82%,-0.0124,131.45
2008-02-03,147.2,-50335,-57334,-102864,89.89K,5.82%,0.0582,139.1
2008-02-10,149.85,-56205,-56145,-127695,89.35K,1.80%,0.0582,147.2
2008-02-17,160.15,-55817,-54415,-137098,26.92K,6.87%,0.018000000000000002,149.85
2008-02-24,164.6,-54523,-48549,-142343,2.00K,2.78%,0.0687,160.15
2008-03-02,148.75,-53300,-45610,-139453,0.74K,-9.63%,0.0278,164.6
2008-03-09,150.05,-46458,-43161,-118522,0.19K,0.87%,-0.09630000000000001,148.75
2008-03-16,130.9,-33941,-36673,-93006,42.33K,-12.76%,0.0087,150.05
2008-03-23,130.4,-28145,-28619,-99742,49.73K,-0.38%,-0.1276,130.9
2008-03-30,131.9,-23511,-25336,-83871,63.61K,1.15%,-0.0038,130.4
2008-04-06,130.85,-22358,-26945,-83496,86.46K,-0.80%,0.0115,131.9
2008-04-13,135.25,-22141,-31234,-89805,49.77K,3.36%,-0.008,130.85
2008-04-20,130.45,-22716,-29573,-90727,17.59K,-3.55%,0.0336,135.25
2008-04-27,128.55,-19252,-30219,-88754,1.74K,-1.46%,-0.0355,130.45
2008-05-04,136.0,-15418,-26709,-70418,0.75K,5.80%,-0.0146,128.55
2008-05-11,138.0,-18250,-23576,-65282,0.32K,1.47%,0.057999999999999996,136.0
2008-05-18,134.0,-18024,-20010,-58069,58.64K,-2.90%,0.0147,138.0
2008-05-25,133.9,-14656,-17797,-46278,43.07K,-0.07%,-0.028999999999999998,134.0
2008-06-01,135.85,-14258,-21603,-27568,82.01K,1.46%,-0.0007000000000000001,133.9
2008-06-08,134.4,-14097,-25075,-38967,85.34K,-1.07%,0.0146,135.85
2008-06-15,143.95,-18157,-27894,-59020,79.15K,7.11%,-0.010700000000000001,134.4
2008-06-22,150.15,-23022,-30004,-70526,1.67K,4.31%,0.0711,143.95
2008-06-29,149.55,-28163,-33477,-81123,0.31K,-0.40%,0.0431,150.15
2008-07-06,140.05,-25509,-26691,-89800,0.21K,-6.35%,-0.004,149.55
2008-07-13,135.65,-22721,-21171,-81474,0.16K,-3.14%,-0.0635,140.05
2008-07-20,137.3,-20450,-19083,-58791,35.89K,1.22%,-0.031400000000000004,135.65
2008-07-27,140.15,-14091,-13861,-52939,48.28K,2.08%,0.012199999999999999,137.3
2008-08-03,135.8,-16061,-13433,-73889,92.81K,-3.10%,0.0208,140.15
2008-08-10,132.85,-11839,-12726,-83222,81.63K,-2.17%,-0.031,135.8
2008-08-17,140.25,-6054,-7008,-80142,33.87K,5.57%,-0.0217,132.85
2008-08-24,141.9,-12897,-7394,-99604,1.00K,1.18%,0.0557,140.25
2008-08-31,138.85,-17593,-7520,-70843,0.25K,-2.15%,0.0118,141.9
2008-09-07,135.1,-13179,-5703,-56960,0.11K,-2.70%,-0.0215,138.85
2008-09-14,133.1,-1454,-5163,-44525,10.39K,-1.48%,-0.027000000000000003,135.1
2008-09-21,134.15,1434,-5800,-46084,60.23K,0.79%,-0.0148,133.1
2008-09-28,122.05,3406,-7936,-43005,67.58K,-9.02%,0.0079,134.15
2008-10-05,115.35,17017,-4235,-11413,75.00K,-5.49%,-0.0902,122.05
2008-10-12,115.6,16382,-3871,-9232,46.58K,0.22%,-0.054900000000000004,115.35
2008-10-19,108.65,17249,-3626,-5735,40.68K,-6.01%,0.0022,115.6
2008-10-26,112.99999999999999,16395,-5355,-5831,48.80K,4.00%,-0.0601,108.65
2008-11-02,112.1,13349,-6392,-30800,58.72K,-0.80%,0.04,112.99999999999999
2008-11-09,110.94999999999999,15022,-5947,-19126,73.63K,-1.03%,-0.008,112.1
2008-11-16,108.95000000000002,14343,-8574,-18265,26.94K,-1.80%,-0.0103,110.94999999999999
2008-11-23,114.1,13704,-9114,-25255,0.52K,4.73%,-0.018000000000000002,108.95000000000002
2008-11-30,101.6,15244,-9124,-29812,0.28K,-10.96%,0.0473,114.1
2008-12-07,109.85000000000001,18016,-8858,-2732,0.08K,8.12%,-0.1096,101.6
2008-12-14,110.94999999999999,15471,-12180,-15755,4.81K,1.00%,0.0812,109.85000000000001
2008-12-28,110.9,17876,-16912,-3663,19.73K,2.31%,0.01,110.94999999999999
2009-01-04,116.9,11498,-17253,-25477,70.59K,5.41%,0.0231,110.9
2009-01-11,115.8,4203,-17663,-29210,40.07K,-0.94%,0.0541,116.9
2009-01-18,119.65,1217,-14617,-46607,46.24K,3.32%,-0.009399999999999999,115.8
2009-01-25,118.9,-5508,-16776,-58007,42.38K,-0.63%,0.0332,119.65
2009-02-01,119.55,-5962,-18917,-59553,64.19K,0.55%,-0.0063,118.9
2009-02-08,112.35,-5973,-21719,-78115,82.57K,-6.02%,0.0055000000000000005,119.55
2009-02-15,108.89999999999999,-590,-20413,-82412,24.25K,-3.07%,-0.0602,112.35
2009-02-22,109.45,635,-17782,-75974,0.28K,0.51%,-0.030699999999999998,108.89999999999999
2009-03-01,105.3,7284,-16017,-66037,0.12K,-3.79%,0.0051,109.45
2009-03-08,108.3,7722,-16767,-58250,0.03K,2.85%,-0.0379,105.3
2009-03-15,116.19999999999999,3787,-18840,-71726,11.26K,7.29%,0.0285,108.3
2009-03-22,115.84999999999998,-2467,-17789,-90326,40.14K,-0.30%,0.0729,116.19999999999999
2009-03-29,118.40000000000002,-5238,-20218,-68368,49.29K,2.20%,-0.003,115.84999999999998
2009-04-05,119.30000000000001,-8003,-22863,-46433,41.90K,0.76%,0.022000000000000002,118.40000000000002
2009-04-12,111.85000000000001,-5863,-21887,-64947,57.19K,-6.24%,0.0076,119.30000000000001
2009-04-19,119.0,-2515,-17046,-62735,18.89K,6.39%,-0.062400000000000004,111.85000000000001
2009-04-26,119.85,-4008,-16453,-79131,0.65K,0.71%,0.0639,119.0
2009-05-03,125.70000000000002,-10930,-13754,-113098,0.07K,4.88%,0.0070999999999999995,119.85
2009-05-10,127.55000000000001,-17320,-11808,-125945,0.14K,1.47%,0.048799999999999996,125.70000000000002
2009-05-17,135.0,-21897,-10212,-128072,37.69K,5.84%,0.0147,127.55000000000001
